Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.29525990393162E-17,-9.73800707817418E-06,-0.0635,0,0,0,55.6598235139156,2.81267028933357,3.63939496425514E-15,3.94988671822613E-17,1.95078014130375,1.85215970484754E-14,4.60246220409625,0,0,0,0,0,0,package://bot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot/meshes/base_link.STL,,main_chassis-1,chassis_coor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_wheel,0,-2.77555756156289E-17,0,0,0,0,2.57407399381529,0.0120399994394116,8.87665937757815E-18,-2.59581749825777E-22,0.00947976967355967,-7.28360102040025E-22,0.00947976967355967,0,0,0,0,0,0,package://bot/meshes/front_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot/meshes/front_right_wheel.STL,,main_wheel-4,front_rw_coordinate,front_rw_axis,front_right_wheel,continuous,0.380999999999999,0.203308839419647,-0.0635,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
front_left_wheel,7.21644966006352E-16,-5.82867087928207E-16,-4.42701431069281E-15,0,0,0,2.57407399381529,0.0120399994394116,4.53870443951435E-32,-4.30715293273093E-32,0.00947976967355967,3.33476871334018E-19,0.00947976967355967,0,0,0,0,0,0,package://bot/meshes/front_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot/meshes/front_left_wheel.STL,,main_wheel-3,front_lw_coordinate,front_lw_axis,front_left_wheel,continuous,-0.381000000000001,0.203308839419646,-0.0634999999999956,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
rear_right_wheel,0,1.38777878078145E-16,-5.55111512312578E-17,0,0,0,2.57407399381529,0.0120399994394116,-8.23857166437262E-18,-8.99778474588208E-18,0.00947976967355967,2.0080327736242E-19,0.00947976967355967,0,0,0,0,0,0,package://bot/meshes/rear_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot/meshes/rear_right_wheel.STL,,main_wheel-2,rear_rw_coordinate,rear_rw_axis,rear_right_wheel,continuous,0.380999999999999,-0.203121668505498,-0.0635000000000014,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
rear_left_wheel,5.55111512312578E-17,0,0,0,0,0,2.57407399381529,0.0120399994394116,5.57553803391328E-32,-2.29959203264697E-32,0.00947976967355968,2.83276051993413E-19,0.00947976967355968,0,0,0,0,0,0,package://bot/meshes/rear_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot/meshes/rear_left_wheel.STL,,main_wheel-1,rear_lw_coordinate,rear_lw_axis,rear_left_wheel,continuous,-0.381,-0.203121668505497,-0.0635,0,0,0,base_link,1,0,0,,,,,,,,,,,,
base,0.00511718765304885,-0.0112421140263127,0.0184342922607056,0,0,0,0.723083512259377,0.00116920742375109,8.83617986414143E-07,3.01864966968444E-07,0.00119718617941842,-9.31078928745321E-08,0.00219015492473889,0,0,0,0,0,0,package://bot/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://bot/meshes/base.STL,,ur_10-1/Base_-1,Base_Coordinate System,base_real_axis,base_joint,continuous,0,0,0,0,0,-3.14159265358979,base_link,0,0,-1,,,,,,,,,,,,
base_upper,-0.0116117632132717,0.000383364243673485,0.0782893466923685,0,0,0,0.31351415705449,0.00109350112538256,2.63698124767234E-06,8.76014869023999E-05,0.00117081942764081,-2.87530318626991E-06,0.00103229366355183,0,0,0,0,0,0,package://bot/meshes/base_upper.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://bot/meshes/base_upper.STL,,ur_10-1/Size_4_Joint-1,real_base_coor,base_real_axis,base_upper_joint,continuous,0.0055859808542799,-0.011250305311917,0.0382,0,0,3.14159265358979,base,0,0,-1,,,,,,,,,,,,
stem1_lower,-0.250964029617767,1.36109700881078E-06,-0.0743401764727535,0,0,0,0.887803819596514,0.0020597159798526,-1.87780190669962E-06,-0.000425002749237477,0.0463634511155588,-5.14657805766743E-07,0.0461704800267664,0,0,0,0,0,0,package://bot/meshes/stem1_lower.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://bot/meshes/stem1_lower.STL,,ur_10-1/Size 4 Joint_-1,stem1_lower_coordinate,stem1_lower_axis,stem1_lower_joint,continuous,-0.09594811009797,0.00315597348338537,0.0897999999999999,0.0328806482127058,1.5707963267949,0,base_upper,0,0,-1,,,,,,,,,,,,
stem2_lower,0.256850618540592,-3.26512589751693E-06,-0.0564751218224952,0,0,0,0.473747302073662,0.000614889814096562,-2.93192087394554E-07,-9.68363909731034E-06,0.0203300052680768,-5.58761996812224E-08,0.0202932113746919,0,0,0,0,0,0,package://bot/meshes/stem2_lower.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://bot/meshes/stem2_lower.STL,,ur_10-1/Size_3_Elbow-1,stem2_lower_coordinate,stem2_lower_axis,stem2_lower_joint,continuous,-0.6129,0,-0.0118907105399999,-3.14159265358979,0,-3.14159265358979,stem1_lower,0,0,1,,,,,,,,,,,,
vaccum_lower,-0.00970309440584227,8.66889685178021E-06,-0.0466153153376092,0,0,0,0.0742761064829774,9.01013564472013E-05,-4.92114408278052E-09,-9.24589949071441E-06,0.000113726471823955,-1.33755180157871E-08,0.000105196868173974,0,0,0,0,0,0,package://bot/meshes/vaccum_lower.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://bot/meshes/vaccum_lower.STL,,ur_10-1/Size_2_Joint-1,vaccum_lower_coordinate,vaccum_lower_axis,vaccum_lower_joint,continuous,0.571600428429073,0,0.00180000000000217,3.14159265358979,0,3.14159265358979,stem2_lower,0,0,-1,,,,,,,,,,,,
